nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
1841,A,Monk,SN-SP-SQ-SR,-73.596505330081229000,45.459550434306244000,Régulier Payez-Partez
1842,A,Monk,SN-SP-SQ-SR,-73.595482320125839000,45.457310949535028000,Régulier Payez-Partez
1843,A,Monk,SN-SP-SQ-SR,-73.595949536626691000,45.458069522225941000,Régulier Payez-Partez
1844,A,Monk,SN-SP-SQ-SR,-73.595125219506912000,45.456360749566116000,Régulier Payez-Partez
1845,A,Monk,SN-SP-SQ-SR,-73.595209438064231000,45.456090598722369000,Régulier Payez-Partez
1846,A,Monk,SN-SP-SQ-SR,-73.594437683307547000,45.454519928404089000,Régulier Payez-Partez
1847,A,Monk,SN-SP-SQ-SR,-73.594748639121519000,45.454868928599204000,Régulier Payez-Partez
1848,A,Monk,SN-SP-SQ-SR,-73.593885206654292000,45.453047431014213000,Régulier Payez-Partez
1849,A,Monk,SN-SP-SQ-SR,-73.594171876901839000,45.453330035578467000,Régulier Payez-Partez
1850,A,Monk,SN-SP-SQ-SR,-73.593355590974667000,45.451638156511315000,Régulier Payez-Partez
1851,A,Monk,SN-SP-SQ-SR,-73.593780135647151000,45.452282989502585000,Régulier Payez-Partez
1852,A,Jolicoeur,SN-SP-SQ-SR,-73.595663998632986000,45.456934791306637000,Régulier Payez-Partez
1853,A,Allard,SN-SP-SQ-SR,-73.594071950872163000,45.451075570015817000,Régulier Payez-Partez
1855,A,Sainte-Catherine,MA-MB-MC-MD,-73.538315870296273000,45.543954717300153000,Régulier Payez-Partez
1856,A,Sainte-Catherine,MA-MB-MC-MD,-73.537365867724716000,45.545507539030282000,Régulier Payez-Partez
1857,A,Sainte-Catherine,MA-MB-MC-MD,-73.536326270808516000,45.546841094117859000,Régulier Payez-Partez
1858,A,Sainte-Catherine,MA-MB-MC-MD,-73.535939712580984000,45.547829637918404000,Régulier Payez-Partez
1859,A,Sainte-Catherine,MA-MB-MC-MD,-73.535037027814297000,45.549038571044228000,Régulier Payez-Partez
1860,A,Sainte-Catherine,MA-MB-MC-MD,-73.534545160433311000,45.550252575448198000,Régulier Payez-Partez
1861,A,Sainte-Catherine,MA-MB-MC-MD,-73.533924942675711000,45.550918963616191000,Régulier Payez-Partez
1862,A,Sainte-Catherine,MA-MB-MC-MD,-73.533496467230506000,45.551846913725015000,Régulier Payez-Partez
1864,A,Sainte-Catherine,MA-MB-MC-MD,-73.531607308066583000,45.554599464043257000,Régulier Payez-Partez
1866,A,Sainte-Catherine,MA-MB-MC-MD,-73.530068596672933000,45.556711048186834000,Régulier Payez-Partez
1867,A,Jean-Talon,RA-RB-RD-VB,-73.612725198508699000,45.541245955597319000,Régulier Payez-Partez
1868,A,Jarry,AB-VB-VC-VD,-73.630831203432137000,45.539999263312346000,Régulier Payez-Partez
1869,A,Jarry,VA-VB-VC-VD,-73.630477004674503000,45.540158219616224000,Régulier Payez-Partez
1871,A,Jarry,VA-VB-VC-VD,-73.629722439235252000,45.541458419502170000,Régulier Payez-Partez
1872,A,Jarry,AB-VB-VC-VD,-73.629666367059087000,45.541994953762121000,Régulier Payez-Partez
1873,A,Jarry,VA-VB-VC-VD,-73.628928031055494000,45.542842353329398000,Régulier Payez-Partez
1874,A,Jarry,AB-VB-VC-VD,-73.628701083016963000,45.543742112764285000,Régulier Payez-Partez
1875,A,Jarry,VA-VB-VC-VD,-73.628152035873384000,45.544131152111206000,Régulier Payez-Partez
1876,A,Jarry,AB-VB-VC-VD,-73.628160272562255000,45.544429659815862000,Régulier Payez-Partez
1877,A,Jarry,VA-VB-VC-VD,-73.627133312098280000,45.545361529197557000,Régulier Payez-Partez
1878,A,Jarry,AB-VB-VC-VD,-73.627235197080196000,45.545542264560105000,Régulier Payez-Partez
1879,A,Jarry,VA-VB-VC-VD,-73.626122896488553000,45.546526731290641000,Régulier Payez-Partez
1880,A,Saint-Hubert,VA-VB-VC-VD,-73.621771960886434000,45.544703222556464000,Régulier Payez-Partez
1881,A,Saint-Hubert,VA-VB-VC-VD,-73.621435278728399000,45.544405111766267000,Régulier Payez-Partez
1882,A,Saint-Hubert,RA-RB-VB-VC,-73.619760385729819000,45.543776983986042000,Régulier Payez-Partez
1883,A,Saint-Hubert,RA-RB-VB-VC,-73.620145669709387000,45.543815506777428000,Régulier Payez-Partez
1884,A,Saint-Hubert,RA-RB-VB-VC,-73.618706642995534000,45.543295568573832000,Régulier Payez-Partez
1885,A,Saint-Hubert,RA-RB-VB-VC,-73.618827205793096000,45.543213361815596000,Régulier Payez-Partez
1886,A,Saint-Hubert,RA-RB-VB-VC,-73.617150625255789000,45.542582522731401000,Régulier Payez-Partez
1887,A,Saint-Hubert,RA-RB-VB-VC,-73.617087995441949000,45.542414765893042000,Régulier Payez-Partez
1888,A,Saint-Hubert,RA-RB-VB-VC,-73.615953132595152000,45.542034779721256000,Régulier Payez-Partez
1889,A,Saint-Hubert,RA-RB-VB-VC,-73.615968225413269000,45.541900933087341000,Régulier Payez-Partez
1890,A,Saint-Hubert,RA-RB-VB-VC,-73.613783828003079000,45.541043393180026000,Régulier Payez-Partez
1891,A,Saint-Hubert,RA-RB-VB-VC,-73.614485669306077000,45.541227202221449000,Régulier Payez-Partez
1892,A,Ontario,MA-MB-MC-MD,-73.543177030049534000,45.547594339759826000,Régulier Payez-Partez
1893,A,Bourbonnière,MA-MB-MC-MD,-73.543182381833674000,45.548078409425116000,Régulier Payez-Partez
1894,A,Saint-Laurent,AB-VB-VC-VD,-73.639127016345711000,45.541295376187087000,Régulier Payez-Partez
1895,A,Saint-Laurent,AB-VB-VC-VD,-73.637984576862692000,45.540963334191417000,Régulier Payez-Partez
1896,A,Saint-Laurent,AB-VB-VC-VD,-73.636493098580772000,45.540530390705634000,Régulier Payez-Partez
1897,A,Saint-Laurent,AB-VB-VC-VD,-73.635250806828339000,45.540168337504916000,Régulier Payez-Partez
1898,A,Saint-Laurent,AB-VB-VC-VD,-73.636650860029832000,45.540326238874670000,Régulier Payez-Partez
1899,A,Saint-Laurent,AB-VB-VC-VD,-73.635183954131463000,45.539918570423687000,Régulier Payez-Partez
1900,A,Saint-Laurent,AB-VB-VC-VD,-73.633265714121549000,45.539589725657208000,Régulier Payez-Partez
1901,A,Saint-Laurent,AB-VB-VC-VD,-73.631815057296805000,45.539166749369656000,Régulier Payez-Partez
1902,A,Saint-Laurent,AB-VB-VC-VD,-73.633664105847245000,45.539464200955109000,Régulier Payez-Partez
1903,A,Bellarmin,AB-VB-VC-VD,-73.639557373605882000,45.541096912972037000,Régulier Payez-Partez
1907,A,361 - Pl. St-Henri C/N (V1),SN-SP-SQ-SR,-73.585508337006402000,45.477377745341990000,Régulier Payez-Partez
1908,A,Monk,SN-SP-SQ-SR,-73.595813043338438000,45.458190106414385000,Régulier Payez-Partez
1909,A,Cherrier,G-PC-PD-PF,-73.570062519083848000,45.518571197997140000,Régulier Payez-Partez
1910,A,197 - Émile-Duployé,PC-PD-S-W,-73.564362844387020000,45.527769778743895000,Régulier Payez-Partez
1911,A,197 - Émile-Duployé,PC-PD-S-W,-73.564457318132767000,45.527472922531082000,Régulier Payez-Partez
1912,A,Maisonneuve,E-F-G-H,-73.570906478872956000,45.505014273875901000,Régulier Payez-Partez
1914,A,Allard,SN-SP-SQ-SR,-73.592987524792633000,45.451151995558895000,Régulier Payez-Partez
1915,A,University,B-E-PA-R,-73.580877073903679000,45.508648641926456000,Régulier Payez-Partez
1916,A,191 - St-André,RA-RB-RD-VB,-73.612005400794175000,45.540947783474216000,Régulier Payez-Partez
1917,A,216 - Papineau,PC-PD-S-W,-73.569411676233543000,45.530321522793344000,Régulier Payez-Partez
1918,A,Sainte-Catherine,MA-MB-MC-MD,-73.532570275136550000,45.552886266722076000,Régulier Payez-Partez
1919,A,Decelles,T-U-X-Z,-73.627181397197475000,45.501241746861666000,Régulier Payez-Partez
1920,A,Decelles,T-U-X-Z,-73.626218906434090000,45.501025340380416000,Régulier Payez-Partez
1921,A,Hudson,T-U-X-Z,-73.623682354016836000,45.504375925454418000,Régulier Payez-Partez
1922,A,182 - Coolbrook,T-U-X-Z,-73.629301961026016000,45.482446366221119000,Régulier Payez-Partez
1923,A,Fleury,AB-AC-AD-AE,-73.659765295077762000,45.556901035180715000,Régulier Payez-Partez
1924,A,Sainte-Catherine,MA-MB-MC-MD,-73.530835036257756000,45.555829231310220000,Régulier Payez-Partez
1925,A,Décarie(Blvd),T-U-X-Z,-73.603101963481478000,45.471636465184318000,Régulier Payez-Partez
1926,A,Sainte-Catherine,A-B-C-J,-73.584134020592330000,45.489738594892863000,Régulier Payez-Partez
1927,A,Notre-Dame,J-SP-SN-SU,-73.569549937132166000,45.486656375396031000,Régulier Payez-Partez
1928,A,Notre-Dame,J-SP-ST-SU,-73.566465952784640000,45.490785487547278000,Régulier Payez-Partez
1929,A,Notre-Dame,J-SP-ST-SU,-73.564995061280555000,45.492512399806387000,Régulier Payez-Partez
1930,A,Sainte-Catherine,H-N-Q-S,-73.559422505825964000,45.514815790814140000,Régulier Payez-Partez
1931,A,Sainte-Catherine,Q-S-W-Y,-73.555902004600682000,45.518637386924588000,Régulier Payez-Partez
1932,A,Ontario,Q-S-W-Y,-73.563107154910924000,45.519722439819297000,Régulier Payez-Partez
1933,A,Saint-Urbain,E-F-G-H,-73.567561290289447000,45.510043520097113000,Régulier Payez-Partez
1934,A,Bélanger,RB-RD-VB-VC,-73.603167330560623000,45.546871290715046000,Régulier Payez-Partez
1936,A,Récollets,K-L-M-P,-73.558462711471023000,45.501528255576950000,Régulier Payez-Partez
1937,A,Peel,J-L-SP-ST,-73.562000738667990000,45.494900535719957000,Régulier Payez-Partez
1938,A,Peel,SP-ST-SU-SW,-73.560740526803698000,45.494451113820944000,Régulier Payez-Partez
1939,A,Peel,SP-ST-SU-SW,-73.558363830907737000,45.493552782545031000,Régulier Payez-Partez
1940,A,Peel,SP-ST-SU-SW,-73.558521046135652000,45.493794755446721000,Régulier Payez-Partez
1941,A,Peel,SP-ST-SU-SW,-73.557081472920686000,45.493074871275432000,Régulier Payez-Partez
1942,A,Wellington,SP-ST-SU-SW,-73.557987144476698000,45.492691648932968000,Régulier Payez-Partez
1943,A,Wellington,SP-ST-SU-SW,-73.557604320687886000,45.492844682336241000,Régulier Payez-Partez
1944,A,Wellington,L-SP-ST-SW,-73.557123939645962000,45.493551529289235000,Régulier Payez-Partez
1945,A,Wellington,L-SP-ST-SW,-73.557020324725869000,45.494050779991724000,Régulier Payez-Partez
1946,A,Wellington,L-SP-ST-SW,-73.556533208533537000,45.494709410211925000,Régulier Payez-Partez
1947,A,Wellington,L-SP-ST-SW,-73.556169603351890000,45.494853839710608000,Régulier Payez-Partez
1949,A,Clark,G-H-PA-PB,-73.566400445789341000,45.510514186015492000,Régulier Payez-Partez
1950,A,Peel,B-D-E-R,-73.575630408212490000,45.501402505727533000,Régulier Payez-Partez
1951,A,Roy,G-PB-PC-PF,-73.574505498276267000,45.517043683432838000,Régulier Payez-Partez
1952,A,Notre-Dame,Q-V-W-Y,-73.548377902185735000,45.517602817226319000,Régulier Payez-Partez
1953,A,Robert-Bourassa,D-F-J-K,-73.569242957307452000,45.502994395574404000,Régulier Payez-Partez
1954,A,Notre-Dame,Q-V-W-Y,-73.548008741040263000,45.518793048640937000,Régulier Payez-Partez
1955,A,University,B-E-PA-R,-73.579035914594229000,45.507596567174751000,Régulier Payez-Partez
1956,A,Peel,J-L-SP-ST,-73.561436410234279000,45.494890570022690000,Régulier Payez-Partez
1957,A,169 (sud Jean-Talon),RA-RB-RD-VB,-73.613812318983591000,45.538781135057214000,Régulier Payez-Partez
1958,A,302  (sud de Beaubien) voie 2,RB-RC-RD-VB,-73.600170713706973000,45.535419141884248000,Régulier Payez-Partez
1961,A,Légaré,T-U-X-Z,-73.629851447894310000,45.496470329236999000,Régulier Payez-Partez
1962,A,335 - rue Fleury - voie Nord,AB-AC-AD-AE,-73.658458695974090000,45.560029034243747000,Régulier Payez-Partez
1963,A,Sherbrooke,G-PB-PC-S,-73.569244513060582000,45.512635129908752000,Régulier Payez-Partez
1964,A,Sherbrooke,G-PB-PC-S,-73.568323637157405000,45.514678344083237000,Régulier Payez-Partez
1965,A,Sherbrooke,G-PB-PC-S,-73.567716076875314000,45.516026785628760000,Régulier Payez-Partez
1966,A,Mont-Royal,PF-PG-PH-PJ,-73.581723990391765000,45.525425280484562000,Régulier Payez-Partez
1967,A,Monkland,T-U-X-Z,-73.625383109392644000,45.472626000361423000,Régulier Payez-Partez
1968,A,Sussex,A-B-C-J,-73.581254755653717000,45.489404776890325000,Régulier Payez-Partez
1969,A,415 - Notre-Dame N-S,K-M-N-P,-73.556577364839441000,45.505660237147950000,Régulier Payez-Partez
1970,A,La Gauchetière,H-N-P-Q,-73.556604397257345000,45.512623819199952000,Régulier Payez-Partez
1971,A,Pins,PA-PB-PC-PE,-73.574322266182719000,45.515821536375590000,Régulier Payez-Partez
1972,A,Berri,G-PC-PD-PF,-73.570505578456775000,45.519571585798666000,Régulier Payez-Partez
1973,A,Saint-André,RA-RB-RD-VB,-73.609393564340067000,45.539534662445810000,Régulier Payez-Partez
1974,A,Saint-Zotique,RA-RB-RD-VB,-73.606052900401281000,45.538098862994325000,Régulier Payez-Partez
1975,A,Saint-André,RB-RC-RD-VB,-73.602396231748926000,45.536710065443486000,Régulier Payez-Partez
1976,A,Chateaubriand,RA-RB-RD-VB,-73.610453846986559000,45.538572786656246000,Régulier Payez-Partez
1977,A,Chateaubriand,RA-RB-RD-VB,-73.606982045884109000,45.536977366595949000,Régulier Payez-Partez
1978,A,Saint-André,RA-RB-RD-VB,-73.602820162044139000,45.536598403299088000,Régulier Payez-Partez
2000,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.693087664768456000,45.433304198309514000,Régulier Payez-Partez
2001,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.686579719296390000,45.434286883394229000,Régulier Payez-Partez
2002,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.684528153984815000,45.433817351791944000,Régulier Payez-Partez
2003,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.683562348254426000,45.433562519361210000,Régulier Payez-Partez
2004,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.682784253467972000,45.433216245634519000,Régulier Payez-Partez
2005,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.681331373391771000,45.433048290905688000,Régulier Payez-Partez
2006,A,18e Avenue  (LCH),LA-LB-LC-LD,-73.680662905378895000,45.433497666459807000,Régulier Payez-Partez
2007,A,Hotel de ville LAC D,LA-LB-LC-LD,-73.680527577519555000,45.433412088329767000,Régulier Payez-Partez
2008,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.680257660137769000,45.432838146698437000,Régulier Payez-Partez
2009,A,Boulevard Saint-Joseph  (LCH),LA-LB-LC-LD,-73.679428405525840000,45.432614488774576000,Régulier Payez-Partez
2010,A,Chemin du Canal  (LCH),LA-LB-LC-LD,-73.670071933318695000,45.429383423841408000,Régulier Payez-Partez
2011,A,Chemin du Canal  (LCH),LA-LB-LC-LD,-73.668718351346840000,45.430018649939001000,Régulier Payez-Partez
2012,A,Chemin du Canal  (LCH),LA-LB-LC-LD,-73.667225678078907000,45.430640979753960000,Régulier Payez-Partez
2013,A,Décarie(Blvd),SA-SB-SC-SD,-73.682497975971231000,45.513915518177129000,Régulier Payez-Partez
2014,A,Décarie(Blvd),SA-SB-SC-SD,-73.681296228348216000,45.513454202422523000,Régulier Payez-Partez
2015,A,Décarie(Blvd),SA-SB-SC-SD,-73.680733640458016000,45.513102697997162000,Régulier Payez-Partez
2016,A,Décarie(Blvd),SA-SB-SC-SD,-73.681201050219087000,45.513105538888567000,Régulier Payez-Partez
2018,A,Décarie(Blvd),SA-SB-SC-SD,-73.678828785082544000,45.511913054862376000,Régulier Payez-Partez
