nNoBorne,sTerrain,sNomRuePrincipale,sStatut,nLongitude,nLatitude,Lun,Mar,Mer,Jeu,Ven,Sam,Dim,dtHeureDebutAP,dtHeureFinAP,nTarifHoraire,nMax
916,410,Terrain 410 - av Rockland,A,-73.622130768243295000,45.519242470108061000,False,False,False,False,False,True,False,00:00:00,21:00:00,100,700
916,410,Terrain 410 - av Rockland,A,-73.622130768243295000,45.519242470108061000,True,True,True,True,True,False,False,00:00:00,21:00:00,100,700
917,412,Terrain 412 - Parc Summerlea,A,-73.715942510014287000,45.438265676953044000,True,True,True,True,True,True,True,00:00:00,21:00:00,150,1800
918,413,Terrain 413 - St-L - rue St-Germain,A,-73.676575482693508000,45.512383784954856000,True,True,True,True,True,False,False,00:00:00,17:00:00,100,900
919,414,Terrain 414 - St-L - rue Ouimet sud,A,-73.676910723954052000,45.511533215426347000,True,True,True,True,True,True,True,00:00:00,21:00:00,100,1500
920,433,Terrain 433 - Verdun 33 - boul. Gaétan Laberge,A,-73.562458831388355000,45.464069254342590000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1500
921,433,Terrain 433 - Verdun 33 - boul. Gaétan Laberge,A,-73.562338610802556000,45.463593135643983000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1500
923,434,Terrain 434 - Verdun 34 - boul. Gaétan Laberge,A,-73.561697755502777000,45.463113305846512000,True,True,True,True,True,True,True,00:00:00,23:59:59,300,1500
926,514,Terrain 514 Verdun 14 - Willibrord,A,-73.574109817255731000,45.459193796034832000,True,True,True,True,True,False,False,00:00:00,23:59:59,150,1000
927,519,Terrain 519 Verdun 19 - 4e Avenue,A,-73.568163328541658000,45.456985496286400000,False,False,False,True,True,False,False,00:00:00,23:59:59,150,1000
927,519,Terrain 519 Verdun 19 - 4e Avenue,A,-73.568163328541658000,45.456985496286400000,True,True,True,False,False,True,False,00:00:00,23:59:59,150,1000
928,520,Terrain 520 Verdun 20 - Gordon,A,-73.568158262334535000,45.460985067821824000,False,False,False,True,True,False,False,00:00:00,23:59:59,150,1000
928,520,Terrain 520 Verdun 20 - Gordon,A,-73.568158262334535000,45.460985067821824000,True,True,True,False,False,True,False,00:00:00,23:59:59,150,1000
